Capital,Lat ETRS89,Lon ETRS89,XUTM ETRS89,YUTM ETRS89,Altura (m)
A Coruña,"4,337,012,643","-839,114,853","5,493,276,194","48,020,980,233",21
Albacete,"3,899,588,053","-185,574,745","5,990,899,661","43,169,421,205",681
Alicante / Alacant,"3,834,548,705","-4,831,832","7,199,455,478","42,471,467,427",5
Almería,"3,683,892,362","-246,413,188","5,477,800,222","40,771,378,536",16
Ávila,"4,065,586,958","-469,771,277","3,564,765,099","45,019,420,302",1.131
Badajoz,"3,887,874,339","-697,099,704","6,760,022,944","43,052,772,647",182
Barcelona,"4,138,424,664","217,634,927","4,311,332,564","45,817,407,668",13
Bilbao,"4,325,721,957","-292,390,606","5,061,763,571","47,893,820,463",6
Burgos,"4,234,113,004","-370,419,805","4,419,923,778","4,687,892,739",859
Cáceres,"3,947,316,762","-637,121,092","7,261,229,523","43,725,856,206",457
Cádiz,"3,652,171,152","-628,414,575","7,431,779,155","4,045,247,849",13
Castellón de la Plana / Castelló de la Plana,"3,998,640,809","-3,688,142","7,530,009,117","44,304,547,091",27
Ceuta,"3,588,810,209","-530,675,127","291,786,944","3973995,22",27
Ciudad Real,"3,898,651,781","-393,131,981","4,193,393,341","43,156,929,053",625
Córdoba,"3,787,954,225","-478,032,455","3,434,306,718","41,939,439,558",106
Cuenca,"4,007,653,762","-213,152,306","5,740,505,872","44,366,135,367",997
Girona,"4,198,186,075","282,411,899","4,854,298,147","46,477,772,059",69
Granada,"3,717,641,932","-360,001,883","4,467,360,152","41,146,119,642",684
Guadalajara,"4,063,435,548","-316,210,273","4,862,918,478","44,981,809,707",685
Huelva,"3,726,004,113","-695,040,588","6,817,523,578","4,125,688,858",24
Huesca,"4,214,062,739","-40,842,276","7,141,624,563","46,686,410,113",483
Jaén,"377,651,913","-37,903,594","4,303,873,289","41,800,570,833",570
Las Palmas de Gran Canaria,"28,099,378,545","-15,413,368,411",459392,3108324,6
León,"4,259,912,097","-556,707,631","2,894,007,177","47,194,938,849",837
Lleida,"4,161,527,355","62,061,934","3,017,560,344","46,097,965,277",167
Logroño,"4,246,644,945","-244,565,538","5,455,727,602","47,017,165,343",384
Lugo,"430,091,282","-755,817,392","6,175,043,521","47,628,370,684",452
Madrid,"4,040,841,191","-368,760,088","4,416,575,389","44,733,154,886",657
Málaga,"3,672,034,267","-441,997,511","3,731,912,652","40,647,894,506",8
Melilla,"35,294,731","-2,942,281",505248,3905730,30
Murcia,"3,798,436,361","-11,285,408","664,351,156","42,057,323,913",42
Ourense,"4,233,654,919","-786,368,375","5,936,100,865","46,877,692,061",138
Oviedo,"4,336,232,165","-584,372,206","2,695,739,336","48,049,791,792",231
Palencia,"420,078,373","-453,460,106","3,729,219,727","46,517,854,474",734
Palma,"3,957,114,699","265,181,698","4,700,940,764","43,802,183,807",24
Pamplona / Iruña,"42,814,102","-16,451,528","6,107,645,012","4,741,061,594",450
Pontevedra,"4,243,381,442","-864,799,018","528,953,786","46,980,039,828",16
Salamanca,"4,096,736,822","-566,538,084","2,757,153,682","45,385,562,664",798
San Sebastián / Donostia,"4,331,717,158","-198,191,785","5,825,543,591","47,965,403,403",7
Santa Cruz de Tenerife,"28,462,854,082","-16,247,206,286",377889,3149155,1
Santander,"4,346,297,885","-380,474,784","4,349,008,456","48,125,443,927",8
Segovia,"409,498,703","-412,524,116","4,052,929,612","45,338,017,656",1.002
Sevilla,"3,738,620,512","-599,251,368","2,350,586,903","41,419,199,504",11
Soria,"4,176,327,912","-246,624,798","5,443,675,995","46,236,315,681",1.061
Tarragona,"4,111,910,287","12,584,219","3,537,915,075","45,534,402,982",69
Teruel,"4,034,412,951","-110,927,177","660,583,674","44,676,689,859",915
Toledo,"3,985,715,187","-402,431,421","4,123,820,803","4,412,404,634",516
Valencia,"3,947,534,441","-37,565,717","7,257,334,023","43,728,160,954",16
Valladolid,"4,165,232,777","-472,334,924","3,564,994,918","4,612,610,279",690
Vitoria-Gasteiz,"4,285,058,789","-267,275,685","5,267,375,988","47,442,749,809",539
Zamora,"4,149,913,956","-575,494,831","2,700,503,784","45,978,333,219",649
Zaragoza,"4,165,645,655","-87,928,652","6,765,787,253","46,138,067,086",208